зарядки выехал пожав тоже выполнишь,5.19,1.16,-3.23,-5,FAIL
относилась стараясь пустые оказалась,6.89,1.14,-1.9,-3,FAIL
"возмущаешься. битве, милая, вздохнули.",6.73,1.12,-1.97,-5,FAIL
структуру продолжением адресу. поглотила ага встречала,6.44,1.18,-3.55,-5,FAIL
"пошел огонь, проложу боль:",7.51,1.21,-1.71,-3,FAIL
прикоснувшись помнишь продолжали,7.37,0.99,-1.22,-3,FAIL
"дальше виду? контакт, со всепоглощающий",5.4,1.38,-2.93,-3,FAIL
даже помнишь. мою нерешительно нам,5.41,1.29,-3.01,-4,FAIL
"оглядывая классическую ну, нравлюсь. смотрит",7.4,0.86,-2.81,-5,FAIL
осваивать,7.68,0.09,-0.63,5,SUCCESS
"территория ною, причинить помощь секунду, голову.",6.24,0.87,-3.93,-4,FAIL
долго круто! ситуации. появления ной! беспокоишься,2.95,3.11,-3.88,-4,FAIL
парься похлопала небытия. ошибках,6.04,0.33,-2.93,-5,FAIL
"лет, дух",8.24,0.34,-1.05,-5,FAIL
полезными открывать уважительно. помнишь ярче спас,4.03,1.59,-4.38,-5,FAIL
"стойку, убегаем? забьешь",7.11,-0.17,-2.0,-4,FAIL
"спросили спасение, глазами, марка. выглядит, удар",6.0,1.1,-3.8,-5,FAIL
первых объясняет,5.5,0.55,-1.16,-3,FAIL
сюда бездна этот,7.43,0.66,-1.54,-5,FAIL
"богу то подсознания, очевидно. прозвучало",2.87,1.52,-4.39,-5,FAIL
инвестиции,8.96,0.18,-0.48,5,SUCCESS
реальной проглотить. роскошно? чувства,6.52,0.16,-2.98,-5,FAIL
"представить, небо. хоть половину гарда концентрироваться, чувствовал.",6.15,0.89,-4.76,-5,FAIL
пространстве серьезным форме,6.46,0.87,-1.49,-3,FAIL
стресса. нет? сильны.,7.21,0.62,-1.62,-4,FAIL
"плечами. иной казалось,",7.58,0.11,-2.07,-5,FAIL
когтей беспокоишься вновь,6.97,0.06,-2.21,-5,FAIL
"хочу,",8.05,0.04,-0.67,1,FAIL
отставай. твои. меня?,8.1,0.76,-1.35,-4,FAIL
"пнула? впервые дырки схожи, ебал точкой впал",6.34,-1.29,-4.65,-5,FAIL
"вернул выглядит, том, экзамене. прошлого?",6.2,1.59,-2.43,-5,FAIL
"ной"". этаж. небо. натянула",6.47,0.2,-2.95,-5,FAIL
несколькими приспособиться присматриваю счастливая,7.38,1.38,-1.57,-4,FAIL
"проснулся. будить карнизу, ориентироваться понимаю,",5.63,1.41,-2.8,-5,FAIL
абсолютно оглянулась расскажу,7.96,0.45,-1.68,-4,FAIL
"потом,",8.28,0.49,-0.21,1,FAIL
подпрыгивая все.,8.53,0.7,-0.67,1,FAIL
