кайф хорошие прекрати объятиях. устали,4.94,1.71,-2.79,-4,FAIL
"полагаться повиновались. мертв, встретил свободной?",7.19,1.01,-2.72,-4,FAIL
"импульс, кровати понять глядя",7.33,0.41,-2.54,-4,FAIL
"найдем приятный знак. вспомнил моя зная,",6.28,0.74,-4.05,-1,FAIL
"хорошо. своим разрывает протянул подсознания, полученной",5.99,0.63,-4.27,-4,FAIL
протянул трогал руке жалок. рада уйду?,5.57,0.61,-4.47,-5,FAIL
"святым. открытая святых чудо,",7.43,0.4,-2.53,-5,FAIL
убила,7.46,0.31,-0.42,5,SUCCESS
улицы самый глядя слова. от хачу воскресят?,5.09,2.06,-4.15,-5,FAIL
"домой? допустить способность плакать, зажигалка мгновение",5.7,0.48,-4.55,-4,FAIL
"будь смерти, события. спутник могли",7.35,0.48,-3.21,-4,FAIL
дух маленьких очнись открылся город. важное воля,4.52,1.56,-5.02,-4,FAIL
"позвольте дело... виду? близким. случайным лицо,",6.05,1.72,-3.16,-5,FAIL
надо шелохнулась живых. вряд-ли начали которая конечно,4.07,3.27,-3.67,-5,FAIL
"глазами, сможешь блаженно собой. груди? спрашивала? лучше",6.83,1.45,-3.9,-5,FAIL
почувствовали,9.04,0.18,-0.48,5,SUCCESS
разозлить достаточно,8.63,0.42,-0.95,4,SUCCESS
"нашей стена,",8.3,0.54,-0.85,-1,FAIL
оружием городской,8.62,0.63,-0.73,-1,FAIL
оружие?,7.04,0.24,-0.51,5,SUCCESS
"лучше черная нии, поворачиваете ох. ввиду?",3.47,1.34,-5.11,-4,FAIL
какого разной спят. бесчувственной. подбора улыбнулась повернулась,4.78,1.64,-4.77,-4,FAIL
траблы о,2.83,0.78,-1.59,-2,FAIL
"кажется, сигарет",7.97,0.43,-0.98,-2,FAIL
"проклятье. эмоций, учишься. обострились. наполовину могли просьба,",6.06,0.02,-5.66,-5,FAIL
окутала хочет посмотрел остается пожалуй серьезная?,5.76,0.8,-4.2,-3,FAIL
воскресят? некоторое города.,7.56,0.77,-1.41,-4,FAIL
могу,3.83,0.23,-0.79,5,SUCCESS
травой времени сотни,7.44,0.55,-1.65,-5,FAIL
"гораздо отчаянии. нужно, иной воскликнули",7.22,1.0,-2.72,-4,FAIL
"постараться, схватила поглощая оказался",7.83,0.83,-2.03,-4,FAIL
сказал: подбора объяснишься? забыл,6.8,0.7,-2.37,-4,FAIL
оборачиваетесь оставались,7.72,0.53,-0.91,-3,FAIL
припарковал,7.6,0.09,-0.63,5,SUCCESS
приходя сначала охватывает,7.53,0.64,-1.55,1,FAIL
страшную следить,7.0,0.63,-0.88,-1,FAIL
"находится, девушку, невозможным руках пожав воспоминания глубокую",4.79,0.97,-5.42,-4,FAIL
подписывали лежать идее том убедительной. школу,5.83,0.35,-4.62,-4,FAIL
"головой,",9.04,0.33,-0.34,-1,FAIL
объективно,6.52,0.33,-0.45,5,SUCCESS
ты нечистой настолько автосмены вред здания. которая,1.4,4.8,-7.03,-4,FAIL
"разочарованный. появляться делать, научился общении",7.49,0.95,-2.7,-4,FAIL
умному,6.75,0.39,-0.38,2,SUCCESS
"настоящей эме. нонсенс, законов присутствия.",6.87,0.55,-3.26,-4,FAIL
"дом способностей, людей, схожи, проложу огромный",6.67,1.22,-3.42,-4,FAIL
"убивая дома, опасных",7.8,0.4,-1.75,-3,FAIL
"навещать истребляла задрожало, остановилось. глупость",7.0,0.98,-2.8,-4,FAIL
блаженно за капитала же,7.06,0.81,-2.2,-5,FAIL
"будущее все, использовала",7.63,0.35,-1.82,1,FAIL
"умер некоторое центре допустим, встали тошнит",6.35,0.98,-3.79,-4,FAIL
"зажигалка никуда, крашнулся а. возникает. транспортир. дома",5.52,1.07,-4.89,-5,FAIL
гадостей. появилась 10слов,8.29,0.09,-1.99,-4,FAIL
изменил перестала доказать,6.9,0.69,-1.6,-4,FAIL
осмотреть закалиться,8.63,0.1,-1.27,-3,FAIL
но... держу пара хвост охватывает сером,6.91,1.42,-3.15,-5,FAIL
"изогнутыми мой, сделать? график",6.7,1.01,-2.08,-4,FAIL
живых. хотел обычно такая? направь подвергаться настроение,6.72,0.99,-4.41,-4,FAIL
"черную ебу оружия контрактор? еще,",6.15,0.28,-3.75,-4,FAIL
видов великую смотрит. безжалостно вернуться рассеялась,6.97,1.67,-2.88,-5,FAIL
становясь ирен. полупрозрачная вместо,7.6,0.85,-2.05,-3,FAIL
"да, клинок, охвачена сжатие",3.27,1.58,-2.84,-2,FAIL
дней нужна удастся уходи,7.55,1.53,-1.38,-2,FAIL
"тебя комнату. случится, зажглось сражалась умер. мощный",1.4,1.69,-10.14,-5,FAIL
отчаянии.,8.68,0.25,-0.42,3,SUCCESS
"встревоженный чувствовать раной,",8.08,0.75,-1.36,-3,FAIL
такая? соглашаешься меня,6.77,0.88,-1.42,-4,FAIL
"улицы,",7.41,0.04,-0.69,1,FAIL
"травмы, оценивается прошлом. идя концентрироваться. очередным за",5.6,1.59,-4.33,-3,FAIL
